Azure_Score,AWS_Score,Google_Score,IBM_Score,Manual_label
0.5,0.89,0.1000000015,0.794763,2
0.5,0.5,0.200000003,0.929593,1
0.5,0.6,0.3000000119,0.695052,2
0.5,0.5,0.3000000119,0.833731,1
0.8840167522,0.65,-0.1000000015,0.829679,1
0.8722343445,0.5,0,0.366163,2
0.5,0.5,0.200000003,0.886638,2
0.5,0.56,0.400000006,0.817759,2
0.9125169516,0.905,0.200000003,0.69442,2
0.706682086,0.6,0.200000003,0.83048,1
0.7963199615,0.5,0.3000000119,0.729793,1
0.9261189699,0.5,0,0.736249,2
0.5,0.5,0.400000006,0.605484,1
0.5,0.5,0.1000000015,0.629375,1
0.859506011,0.5,0,0.755839,1
0.5,0.5,0,0.545071,1
0.5,0.5,0.3000000119,0.492583,1
0.5,0.64,0.4,0.614538,2
0.5,0.5,0.1000000015,0.80475,1
0.5,0.5,0.200000003,0.952459,2
0.5,0.9,0.2,0.655746,1
0.7094016075,0.5,0.200000003,0.326322,2
0.5,0.5,0.5,-0.462628,2
0.5,0.5,-0.5,-0.521112,2
0.5,0.5,0.200000003,0.972414,2
0.5,0.7,0.42,0.285095,2
0.5,0.5,-0.1000000015,0.766386,2
0.7997919321,0.5,0.200000003,0.785524,2
0.8410710692,0.6,0.200000003,0.45803,1
0.5,0.6,0.400000006,0.795008,1
0.9480788708,0.98,0.9,0.988573,2
0.9313516021,0.8,0.5,0.958134,1
0.5,0.9,-0.1000000015,0.801903,2
0.5,0.296,0.200000003,0.94317,2
0.9807326794,0.5,0.1000000015,0.768429,1
0.5,0.5,0.1000000015,0.809345,1
0.5,0.5,0,0.988573,2
0.5,0.87,0.3000000119,0.673964,1
0.5,0.56,0,0.621902,2
0.8291083574,0.5,0,0,2
0.5,0.5,0,0.549145,2
0.5,0.2,0.1000000015,0.559908,1
0.5,0.5,0.200000003,0.527004,0
0.5,0.5,0,0.684462,2
0.5,0.5,0,0.471062,2
0.8636938334,0.5,0,0.988573,2
0.9126435518,0.9,0.200000003,0.569771,2
0.5,0.5,0.200000003,0.769522,2
0.5,0.5,0.1000000015,0.69805,2
0.5,0.5,0,0.988573,2
0.5,0.93,0.6,0.755059,2
0.9704017639,0.9,0.400000006,0.479401,2
0.9287166595,0.5,0.3000000119,0.919998,1
0.5,0.81,0.400000006,0.852284,1
0.5,0.71,0.400000006,0.91792,1
0.7551761866,0.88,0.8,0,2
0.5,0.5,0.1000000015,0.847705,0
0.8556266427,0.4,0.1000000015,0.908568,1
0.5,0.5,0,0.829015,1
0.5,0.67,0,0,2
0.5,0.5,-0.1000000015,0.477986,0
0.5,0.1,-0.1,-0.477788,0
0.5,0.5,0.1000000015,0.875768,2
0.7429530621,0.5,0.3000000119,0.739308,2
0.5,0.5,0.3000000119,0.792806,1
0.5,0.5,0.3000000119,0.801836,1
0.8076367378,0.5,0,0.739117,2
0.8378398418,0.92,0,0.721133,0
0.5,0.5,0.3000000119,0.90052,1
0.9350368381,0.5,0.3000000119,0.481687,2
0.7632597685,0.94,0.1000000015,0.844868,2
0.9346239567,0.6,0.7,0.47644,2
0.5,0.5,0.3000000119,0.678515,2
0.8644337058,0.48,0.3,0.418501,2
0.7710066438,0.5,0.200000003,0.872548,1
0.918697238,0.74,-0.200000003,0.578894,1
0.5,0.5,0,0,2
0.5,0.5,0,0.394711,2
0.9500648975,0.5,0.3,0,2
0.5,0.5,0,0.651486,1
0.5,0.5,0,0.306599,2
0.9236762524,0.67,0.7,0.781138,1
0.9465673566,0.7,-0.1000000015,0,2
0.692086935,0.5,0.3000000119,0.691652,1
0.7569842339,0.93,0.8,0,2
0.9769499302,0.5,0.7,0,2
0.9591155648,0.48,0.3000000119,0.606894,0
0.5,0.5,0.1000000015,0,2
0.9515138865,0.5,0.5,0.499114,0
0.5,0.5,0,0.306599,2
0.5,0.67,0.1000000015,0.521035,2
0.5,0.5,0,0,2
0.5,0.5,0.400000006,0.805806,1
0.5,0.8,-0.1000000015,0,2
0.5,0.5,0.400000006,0.700641,1
0.5,0.91,0,0,2
0.5,0.5,0,-0.658645,2
0.7038143277,0.5,0.4,0.62096,2
0.5,0.5,0,-0.506176,2
0.5,0.5,0,0.646895,2
0.5,0.5,0,0.306599,2
